R_value,s_value,MEAN_DEMAND,LEAD_MODE,DISRUPT_DAYS,Method,fill_rate_mean,fill_rate_sd,fill_rate_ci95,koszt_mean,koszt_ci95,p_QL_vs_ROP
80,80,15,7,10,"(s,S)",81.56795441400374,2.6322940260956083,0.941954319838056,28990.35,370.7283305523883,
80,80,15,7,30,ROP,69.46262669638094,2.6643934559769007,0.9534409532996948,30605.033333333333,428.7694468356028,1.7202510031315485e-12
80,80,15,7,30,"(s,S)",78.11935909829266,3.178250858974037,1.1373224633952306,32033.75,489.3147999882961,
80,80,15,7,60,ROP,63.726378796203015,2.487039868161913,0.8899757869752098,35739.8,432.9424860017545,1.7894851037736772e-11
80,80,15,7,60,"(s,S)",70.91210084677938,2.20639287082073,0.7895475487638358,37171.03333333333,370.1832829213408,
80,80,15,7,90,ROP,56.98238358481519,2.279280028563941,0.81562988319012,41528.066666666666,469.2659979636413,2.1141724302377144e-11
80,80,15,7,90,"(s,S)",63.83514301506136,2.493287310133664,0.8922114053730367,42538.41666666666,479.8606895081624,
80,80,15,14,10,ROP,63.83320205585164,2.3341174730633303,0.835253210684312,30879.25,377.7822069056228,1.7202510031315485e-12
80,80,15,14,10,"(s,S)",72.90649358216359,2.906737068220094,1.0401625011870446,31812.93333333333,410.0327218809349,
80,80,15,14,30,ROP,60.7876683904635,2.9619602424140448,1.059923860279713,34070.26666666667,513.4616170169294,1.6178940395786835e-11
80,80,15,14,30,"(s,S)",69.32317663838474,2.5892309663621687,0.9265444018200736,34654.73333333333,449.93846575321,
80,80,15,14,60,ROP,55.64006294700202,2.917484628717145,1.0440084663176703,39028.45,502.95712781837614,2.1141724302377144e-11
80,80,15,14,60,"(s,S)",63.66406120220724,2.8116303628582675,1.00612900376122,39573.03333333333,503.00089879395335,
80,80,15,14,90,ROP,49.88772128057449,2.382560593523208,0.8525883587077645,44223.26666666667,451.4975566077221,1.6178940395786835e-11
80,80,15,14,90,"(s,S)",57.085420494647664,2.177759060882822,0.7793010714717681,44677.76666666667,452.0115852413502,
80,80,20,3,10,ROP,68.64241383774106,3.1670763094251053,1.1333237021947298,35125.3,659.205893561563,1.7202510031315485e-12
80,80,20,3,10,"(s,S)",77.42571948009284,3.118160506356055,1.1158194068719225,34970.25,613.8013007815716,
80,80,20,3,30,ROP,64.467209254686,3.102577040981598,1.1102429354055907,39415.41666666666,680.2172076043036,1.1019713545087217e-11
80,80,20,3,30,"(s,S)",72.66550045889713,2.3598596436535093,0.844464928125085,39173.45,477.544150684725,
80,80,20,3,60,ROP,58.978734182998416,2.390342284238629,0.8553730009674695,45490.2,577.1648853495434,1.7894851037736772e-11
80,80,20,3,60,"(s,S)",66.98943759991647,3.066520791689345,1.0973403723023452,45034.6,675.4358578144316,
80,80,20,3,90,ROP,54.25013681404963,2.791438626648748,0.9989034837550836,51215.75,596.6845454027855,2.2622576527640783e-11
80,80,20,3,90,"(s,S)",60.98374591455141,2.0363786621376883,0.7287087455316686,50965.65,499.33451216608086,
80,80,20,7,10,ROP,61.14889584085147,1.98725234551973,0.7111291189028549,39320.86666666667,446.1238668918234,2.3656735830142044e-12
80,80,20,7,10,"(s,S)",71.47647138961513,2.3618482403669714,0.8451765383198775,37732.816666666666,483.7775731916509,
80,80,20,7,30,ROP,57.25232158942162,2.065660275855923,0.7391870364293734,43527.066666666666,517.4298976692917,2.3981963008797618e-11
80,80,20,7,30,"(s,S)",67.84529434580621,2.367375727864732,0.8471545243179269,41440.93333333333,566.2606513163174,
80,80,20,7,60,ROP,52.92165977574604,2.1279389716174104,0.7614731814894781,49004.86666666667,487.4627282826517,2.6286126789143316e-11
80,80,20,7,60,"(s,S)",61.588557882237424,2.524475991635703,0.9033721317127438,47503.833333333336,650.519694705231,
80,80,20,7,90,ROP,48.10483843672641,1.9204768850781209,0.6872338272680348,54737.566666666666,449.1262296163629,2.2622576527640783e-11
80,80,20,7,90,"(s,S)",55.72219056976572,2.6053458857360106,0.932311051657648,53374.93333333333,641.830973631219,
80,80,20,14,10,ROP,51.88620039153296,2.0845012893062123,0.7459292065037216,44395.78333333333,527.7166456109577,3.019859359162157e-11
80,80,20,14,10,"(s,S)",62.51774754390388,2.342518952321576,0.8382596414256652,42204.333333333336,478.9243800288868,
80,80,20,14,30,ROP,49.59013608713905,2.04061526740842,0.7302247952573651,47409.583333333336,534.6503850271987,3.019859359162157e-11
80,80,20,14,30,"(s,S)",59.57211085856183,2.2706600108695074,0.8125452494737279,45500.01666666667,643.2692163073874,
80,80,20,14,60,ROP,45.34764006813565,1.8548244419716684,0.663740402225479,52914.38333333333,563.8468214648644,3.019859359162157e-11
80,80,20,14,60,"(s,S)",54.178737007552265,2.6413739196061354,0.9452035180017568,51207.63333333333,677.4431730653223,
80,80,20,14,90,ROP,40.98456529550917,1.8199258468949289,0.6512521003629499,58391.11666666667,567.2032521717339,3.019859359162157e-11
80,80,20,14,90,"(s,S)",48.724438501510335,2.3827934057539024,0.8526716694945685,56965.95,679.3192835342386,
80,80,25,3,10,ROP,58.45379270818809,2.810833847668963,1.005843974461323,48905.51666666667,787.5675699104789,2.5206075343748486e-11
80,80,25,3,10,"(s,S)",69.2922661308061,2.918128820613928,1.0442389874273803,44837.1,726.7746434556058,
80,80,25,3,30,ROP,56.01546210706372,3.017147005653304,1.0796721898795811,52669.41666666666,858.7202794241728,2.8003238673915385e-11
80,80,25,3,30,"(s,S)",65.29890234498698,2.667967058439162,0.954719750517384,49543.88333333333,703.5248927231274,
80,80,25,3,60,ROP,51.696240552606696,2.889369168694555,1.0339474781605855,58854.816666666666,872.7893304279964,3.000982378980083e-11
80,80,25,3,60,"(s,S)",59.708518555249874,2.251187174946814,0.8055769846313368,56235.35,579.7510623589618,
80,80,25,3,90,ROP,46.84751241749552,2.955994065126129,1.0577888911563709,65550.05,938.8355910714032,3.000982378980083e-11
80,80,25,3,90,"(s,S)",53.91279966105346,1.7758704336241773,0.6354870731922625,63222.98333333333,535.3920588365801,
80,80,25,7,10,ROP,52.23618571749627,2.3122930264207717,0.827443432753263,53455.03333333333,744.8053208138233,3.019859359162157e-11
80,80,25,7,10,"(s,S)",63.09104678118754,2.4496034470723718,0.8765793357372473,49017.5,631.3061844312547,
80,80,25,7,30,ROP,48.99653790905536,1.893671174916456,0.677641527079382,57757.48333333333,649.274008783875,3.019859359162157e-11
80,80,25,7,30,"(s,S)",59.57803911948517,1.825544952986876,0.6532628716538715,53323.066666666666,517.8143935477963,
80,80,25,7,60,ROP,45.58185927221359,2.2945955959612445,0.8211104885965226,63249.066666666666,679.4343242722545,3.019859359162157e-11
80,80,25,7,60,"(s,S)",54.59487395495999,1.9713652173174705,0.7054439830891569,59686.26666666667,581.1416274107714,
80,80,25,7,90,ROP,40.848929761608325,2.4534224121524253,0.8779459348400851,69753.98333333334,775.0034105407985,3.019859359162157e-11
80,80,25,7,90,"(s,S)",49.398930864759855,2.080866385780891,0.7446284729823417,66239.25,616.1684806286588,
80,80,25,14,10,ROP,43.63968101106411,1.6349716477337288,0.5850670901988336,59651.16666666666,561.4365122723052,3.019859359162157e-11
80,80,25,14,10,"(s,S)",54.564732875072494,1.959215222375215,0.7010961632375716,54733.333333333336,532.0206140430494,
80,80,25,14,30,ROP,41.3430442705894,1.5925759952041003,0.5698960007814896,63373.96666666667,560.4324222933928,3.019859359162157e-11
80,80,25,14,30,"(s,S)",52.34158636574293,2.4111898886732943,0.8628332204037592,58052.316666666666,729.6859382120177,
80,80,25,14,60,ROP,37.46984989668197,1.5028028027844542,0.5377710764504616,69223.65,463.03054716056926,3.017966798490446e-11
80,80,25,14,60,"(s,S)",47.8169684738311,2.0134360096395323,0.7204988227742037,64112.816666666666,594.3544817764906,
80,80,25,14,90,ROP,34.249091722888,1.7307907127400508,0.6193555022496043,74562.41666666667,521.1076214867431,3.019859359162157e-11
80,80,25,14,90,"(s,S)",43.43378939435559,2.1206637564896917,0.7588697791911904,70149.13333333333,642.6961497603048,
100,100,15,3,10,ROP,86.72591816920891,2.15754146160265,0.7720662964846592,23832.55,403.4663370827144,1.211780397005976e-12
100,100,15,3,10,"(s,S)",89.77605763724928,2.6522147060080297,0.9490828435939864,25879.866666666665,383.1776749045096,
100,100,15,3,30,ROP,81.57164820297369,2.5149675577825623,0.8999695823569087,27622.95,394.049962745376,6.025266196936119e-11
100,100,15,3,30,"(s,S)",84.64301657155796,2.7718472120862163,0.9918927860913856,29448.7,380.2812886340182,
100,100,15,3,60,ROP,74.82990098313377,2.7615065279315787,0.9881924197899852,33102.21666666667,414.7262640951059,1.9558095152782195e-11
100,100,15,3,60,"(s,S)",77.71194271671256,3.109052955569058,1.1125603116789429,34817.88333333333,441.5916699871133,
100,100,15,3,90,ROP,67.01139615299466,2.1435909949324943,0.7670741860997867,38810.816666666666,380.24509646325816,1.6178940395786835e-11
100,100,15,3,90,"(s,S)",70.9845732116306,2.7184495804124595,0.9727846889998072,39965.95,461.5000240717793,
100,100,15,7,10,ROP,80.19117727951053,2.262139153669767,0.8094960998846434,25088.3,392.8098138900908,1.211780397005976e-12
100,100,15,7,10,"(s,S)",84.72012236657129,2.12942204190063,0.7620038913744882,26272.63333333333,325.4925089350172,
100,100,15,7,30,ROP,76.1395002605112,2.610240607975262,0.9340626055159794,28657.75,444.201785175244,1.7202510031315485e-12
100,100,15,7,30,"(s,S)",80.31245416157317,2.7708866779946253,0.991549063381097,29665.15,385.75649055783134,
100,100,15,7,60,ROP,68.65495991300455,2.616587066758946,0.9363336566248984,34516.85,435.95198678178826,1.7894851037736772e-11
100,100,15,7,60,"(s,S)",73.75226458747493,2.710140566911198,0.96981134670464,35013.96666666667,386.0528337481752,
100,100,15,7,90,ROP,62.68697820797362,2.479278113156311,0.887198278617644,39770.3,424.809944144708,2.1141724302377144e-11
100,100,15,7,90,"(s,S)",66.65681865367378,1.964235237217716,0.7028925524781606,40434.833333333336,324.37925244441647,
100,100,15,14,10,ROP,69.03147118343487,2.606324843400999,0.9326613671590066,28962.266666666663,416.2792413429814,1.718884598269273e-12
100,100,15,14,10,"(s,S)",74.5354038985692,2.363673836843522,0.8458298196290019,29556.416666666668,400.9694854925604,
100,100,15,14,30,ROP,65.5670646543578,3.129230804285805,1.1197808621096144,32221.75,537.3599602173832,1.6178940395786835e-11
100,100,15,14,30,"(s,S)",70.36829395454684,2.6747333698736413,0.9571410439678468,32961.316666666666,482.1120656335101,
100,100,15,14,60,ROP,59.93961954733867,2.5580378899474034,0.9153821027810456,37422.68333333333,468.6275200434281,2.1141724302377144e-11
100,100,15,14,60,"(s,S)",65.15820072143414,2.87212320703188,1.027776090037955,37790.2,516.7656604010633,
100,100,15,14,90,ROP,54.20755583246783,2.3743993660872538,0.8496679009768778,42586.333333333336,493.9785116470575,1.6178940395786835e-11
100,100,15,14,90,"(s,S)",58.11201579574208,1.9919799631634696,0.7128208751496556,43231.083333333336,407.1424302314724,
100,100,20,3,10,ROP,74.02433437789091,2.9640391121005703,1.0606677742430433,32646.233333333334,638.5501612748387,1.7202510031315485e-12
100,100,20,3,10,"(s,S)",77.79553637389081,3.5279818639252154,1.2624720962360951,33098.36666666667,727.1631317506477,
100,100,20,3,30,ROP,70.15357995951207,3.410570326613526,1.22045691720474,36784.45,720.879274120122,1.1019713545087217e-11
100,100,20,3,30,"(s,S)",74.66292497984736,3.3223382802445,1.188883484905184,36781.01666666667,695.0890288529296,
100,100,20,3,60,ROP,64.00461414597241,2.612694325624919,0.9349406571002036,43204.41666666666,570.614734760323,1.7894851037736772e-11
100,100,20,3,60,"(s,S)",67.82932944805172,3.0008566323523995,1.0738427546605522,43326.833333333336,631.5961620371648,
100,100,20,3,90,ROP,58.28037821039964,2.2088951099679,0.7904429635429518,49400.73333333333,495.44318809861335,2.2622576527640783e-11
100,100,20,3,90,"(s,S)",61.84845744869237,2.877324614795276,1.0296373899016469,49446.65,616.2774546128114,
100,100,20,7,10,ROP,66.81995665584104,2.773515845086675,0.9924898987419576,36218.96666666667,657.851931978781,2.3656735830142044e-12
100,100,20,7,10,"(s,S)",72.21245067594297,1.9766767661696485,0.7073446964352875,35680.316666666666,430.62822428919753,
100,100,20,7,30,ROP,63.64648423320103,2.855126529059767,1.0216939069383428,40053.566666666666,699.2317255432504,2.3981963008797618e-11
100,100,20,7,30,"(s,S)",68.55016438882998,2.427712308713132,0.8687456924818837,39620.083333333336,536.9808610396046,
100,100,20,7,60,ROP,57.783358256742616,2.6790845800461605,0.9586981045309508,46242.03333333333,672.2577844167402,2.6286126789143316e-11
100,100,20,7,60,"(s,S)",62.564713541444,2.3881329122939405,0.8545823873708132,45761.63333333333,524.1771364789721,
100,100,20,7,90,ROP,52.54767299714287,2.6277054347777105,0.9403123135230258,52247.63333333333,618.6717692181572,2.2622576527640783e-11
100,100,20,7,90,"(s,S)",56.05474849003872,2.1106365043910174,0.755281573110557,52174.43333333333,490.2237555293215,
100,100,20,14,10,ROP,55.40823408110901,2.1351378970651416,0.7640492838763914,42538.68333333333,503.15777504662464,3.019859359162157e-11
100,100,20,14,10,"(s,S)",62.41844709969303,2.8656978653138525,1.0254768110335082,40652.88333333333,636.2928284885157,
100,100,20,14,30,ROP,52.07155855551644,2.459126532552867,0.8799871281105961,46327.86666666667,600.6763537465775,3.019859359162157e-11
100,100,20,14,30,"(s,S)",60.24562497069347,2.7118278776867317,0.9704151431111836,43666.2,642.3176923507234,
100,100,20,14,60,ROP,47.96112893821682,2.131117606265414,0.7626106412900138,51688.36666666667,528.7175356587317,3.019859359162157e-11
100,100,20,14,60,"(s,S)",54.874323184906615,2.458432769106492,0.8797388680496832,49530.066666666666,607.7343540345386,
100,100,20,14,90,ROP,43.44720218381856,1.9616085749932584,0.7019526134726564,57213.03333333333,543.055474600645,3.019859359162157e-11
100,100,20,14,90,"(s,S)",49.49039619725833,2.4894856518611777,0.890850999431749,55329.23333333333,622.9948590129267,
100,100,25,3,10,ROP,64.55155720575807,2.731692783933572,0.9775237085172086,44539.76666666667,806.516448139624,2.5206075343748486e-11
100,100,25,3,10,"(s,S)",69.9585578251835,3.134324576032461,1.121603644919386,42638.88333333333,842.4267467649612,
100,100,25,3,30,ROP,60.73388562796904,2.7142506150443646,0.9712821085402852,49274.35,750.6206981873496,2.8003238673915385e-11
