ratio,c_l_over_c_h,MEAN_DEMAND,LEAD_MODE,DISRUPT_DAYS,Method,fill_rate_mean,fill_rate_sd,fill_rate_ci95,koszt_mean,koszt_sd,koszt_ci95,utracono_mean,bullwhip_mean,p_vs_ROP_fr,p_vs_ROP_k
BASE,20,20,14,10,QL,95.81848718711926,3.6674937146318976,1.8560078983343893,68226.3,7508.596463387816,3799.874089996141,306.1333333333333,18.30763538456753,3.391821390825095e-06,3.391821390825095e-06
BASE,20,20,14,10,SARSA,94.9743095439522,3.3737151272709207,1.707335420361726,66088.06666666667,11851.58069756741,5997.727356607149,368.6666666666667,19.80159690543538,3.391821390825095e-06,3.391821390825095e-06
BASE,20,20,14,10,DQN,99.6483684461919,0.3946298889513883,0.1997102784090561,121653.26666666666,1095.38792650084,554.3427750713251,25.73333333333333,23.035931878312446,3.1051969694601048e-06,3.391821390825095e-06
BASE,20,20,14,30,ROP,58.4674148177429,2.053438927206217,1.0391834762897636,40386.2,1291.0314370411636,653.3520519985123,3024.6666666666665,8.828636123678454,,
BASE,20,20,14,30,"(s,S)",64.45020785324034,1.9537515943511683,0.9887347253063064,39359.0,1239.854815809381,627.4531083037201,2599.8,12.716140783676853,1.0992164801504738e-05,0.0343974488925022
BASE,20,20,14,30,QL,92.0863308049064,6.0502763131387765,3.06186226836332,62397.3,8085.202457488089,4091.676983892709,576.8,18.677843265493543,3.391821390825095e-06,3.391821390825095e-06
BASE,20,20,14,30,SARSA,92.28066976269926,4.587194275920355,2.32144059943045,67960.23333333334,9797.562725105718,4958.250842986914,567.2666666666667,18.55638977394644,3.391821390825095e-06,3.391821390825095e-06
BASE,20,20,14,30,DQN,99.8055827657496,0.2778881904378245,0.1406308275999921,133984.6,700.872598979301,354.6904727448991,14.066666666666666,9.360547300080947,2.94305358632017e-06,3.391821390825095e-06
BASE,20,20,14,60,ROP,56.80089974603326,1.89712045261645,0.9600754133811104,41296.76666666667,1269.0442673054995,642.2250088822278,3143.733333333333,8.695043366185788,,
BASE,20,20,14,60,"(s,S)",64.62406659341973,1.7310223969438163,0.8760181995959915,39228.23333333333,1095.298244880405,554.2973899094642,2586.4666666666667,12.7631374022873,3.391821390825095e-06,0.0001603262273507
BASE,20,20,14,60,QL,90.63145779781232,4.47393471544591,2.2641233536056538,62094.7,3724.12215351292,1884.665842426892,685.9333333333333,19.75078220075596,3.391821390825095e-06,3.391821390825095e-06
BASE,20,20,14,60,SARSA,89.2841226130335,5.984439378631777,3.0285441825109545,70113.3,9208.487765177764,4660.137781749662,782.0666666666667,18.027442601005948,3.391821390825095e-06,3.391821390825095e-06
BASE,20,20,14,60,DQN,92.09127394451704,0.6646227193428247,0.3363455025407105,122264.96666666666,520.443233718923,263.3806156403905,576.8,19.94685367386349,3.391821390825095e-06,3.391821390825095e-06
BASE,20,20,14,90,ROP,57.47973065501086,2.199011400005853,1.112853311964809,40939.43333333333,1221.6548037493285,618.2426314054305,3097.866666666667,8.717500187024529,,
BASE,20,20,14,90,"(s,S)",65.17571672302378,2.0583342824929893,1.0416608678776902,38986.566666666666,1250.3670584881788,632.7730371050201,2548.266666666667,12.85716045562962,3.391821390825095e-06,0.0005759812107616
